iter,delta_d,delta_s,delta_c,delta_l,delta_x,delta_b,delta_a,delta_u,y_plus,y_minus,p_plus,p_minus,unfin_plus,unfin_minus,dec_plus,dec_minus,median_plus,median_minus,guard_tripped,plus_d,plus_s,plus_c,plus_l,plus_x,plus_b,plus_a,plus_u,minus_d,minus_s,minus_c,minus_l,minus_x,minus_b,minus_a,minus_u,theta_d,theta_s,theta_c,theta_l,theta_x,theta_b,theta_a,theta_u
0,1,1,1,-1,-1,1,-1,1,1681.9215,485.8943,0.0899,0.2796,0.1100,0.0700,0.8900,0.9300,156,183,0,340,390,940,160,360,290,360,340,260,310,860,240,440,210,440,260,180,230,780,320,520,130,520,180
1,1,-1,1,1,-1,-1,-1,1,459.1837,289.7239,0.2857,0.3298,0.0900,0.0600,0.9100,0.9400,164,182,0,220,190,820,360,480,90,480,220,140,270,740,280,560,170,560,140,163,247,763,303,537,147,537,163
2,-1,1,-1,1,-1,1,-1,-1,654.4078,544.4444,0.2442,0.2667,0.1400,0.1000,0.8600,0.9000,160,177,0,123,287,723,343,497,187,497,123,203,207,803,263,577,107,577,203,174,236,774,292,548,136,548,174
3,-1,1,1,-1,-1,1,-1,1,277.7778,277.7778,0.3333,0.3333,0.1300,0.0400,0.8700,0.9600,192,167,0,134,276,814,252,508,176,508,214,214,196,734,332,588,96,588,134,174,236,774,292,548,136,548,174
4,1,-1,1,-1,-1,-1,1,1,530.5517,212.6736,0.2697,0.3542,0.1100,0.0400,0.8900,0.9600,168,190,0,214,196,814,252,508,96,588,214,134,276,734,332,588,176,508,134,142,268,742,324,580,168,516,142
5,1,1,-1,-1,1,-1,-1,-1,71.0138,820.9191,0.4157,0.2135,0.1100,0.1100,0.8900,0.8900,200,164,0,182,308,702,284,620,128,476,102,102,228,782,364,540,208,556,182,217,343,667,249,655,93,441,67
6,-1,1,1,-1,-1,-1,-1,-1,303.3077,4.5269,0.3258,0.4787,0.1100,0.0600,0.8900,0.9400,204,211,0,177,383,707,209,615,53,401,27,257,303,627,289,695,133,481,107,247,313,637,279,685,123,471,97
7,-1,1,1,1,-1,1,-1,-1,60.4938,55.4550,0.4222,0.4255,0.1000,0.0600,0.9000,0.9400,201,186,0,207,353,677,319,645,163,431,57,287,273,597,239,725,83,511,137,248,312,636,278,686,122,472,98
8,-1,-1,-1,1,-1,-1,1,-1,36.5294,40.7424,0.4396,0.4362,0.0900,0.0600,0.9100,0.9400,190,194,0,208,272,596,318,646,82,512,58,288,352,676,238,726,162,432,138,248,312,636,278,686,122,472,98
9,-1,1,-1,1,-1,-1,-1,1,129.1322,0.2657,0.3864,0.4948,0.1200,0.0300,0.8800,0.9700,178,214,0,208,352,596,318,646,82,432,138,288,272,676,238,726,162,512,58,261,299,649,265,699,135,485,85
10,1,-1,-1,-1,1,1,1,-1,29.5369,30.8642,0.4457,0.4444,0.0800,0.1000,0.9200,0.9000,201,186,0,301,259,609,225,739,175,525,45,221,339,689,305,659,95,445,125,261,299,649,265,699,135,485,85
11,-1,1,-1,1,-1,-1,1,1,1.2346,4.7259,0.4889,0.5217,0.1000,0.0800,0.9000,0.9200,179,204,0,221,339,609,305,659,95,525,125,301,259,689,225,739,175,445,45,261,299,649,265,699,135,485,85
12,-1,-1,1,1,-1,-1,1,-1,129.1322,30.8642,0.3864,0.5556,0.1200,0.1000,0.8800,0.9000,185,205,0,221,259,689,305,659,95,525,45,301,339,609,225,739,175,445,125,271,309,639,255,709,145,475,95
13,-1,1,-1,-1,-1,1,1,-1,188.6849,199.6692,0.6374,0.3587,0.0900,0.0800,0.9100,0.9200,201,196,0,231,349,599,215,669,185,515,55,311,269,679,295,749,105,435,135,270,310,638,254,708,146,476,94
14,-1,-1,1,1,1,-1,-1,-1,100.0000,4.7259,0.4000,0.5217,0.1000,0.0800,0.9000,0.9200,190,204,0,230,270,678,294,748,106,436,54,310,350,598,214,668,186,516,134,280,320,628,244,698,156,486,104
15,1,1,1,-1,-1,-1,-1,1,183.0450,60.4938,0.3647,0.4222,0.1500,0.1000,0.8500,0.9000,181,223,0,320,360,668,204,658,116,446,144,240,280,588,284,738,196,526,64,268,308,616,256,710,168,498,92
16,1,-1,-1,-1,-1,1,1,-1,104.5971,8.2574,0.3977,0.4713,0.1200,0.1300,0.8800,0.8700,196,187,0,308,268,576,216,670,208,538,52,228,348,656,296,750,128,458,132,258,318,626,266,720,158,488,102
17,1,1,-1,-1,-1,-1,-1,1,14.7929,46.8144,0.5385,0.4316,0.0900,0.0500,0.9100,0.9500,203,197,0,298,358,586,226,680,118,448,142,218,278,666,306,760,198,528,62,261,321,623,263,717,155,485,105
18,-1,1,-1,-1,-1,1,-1,-1,22.6757,0.0000,0.4524,0.5000,0.1600,0.1000,0.8400,0.9000,216,200,0,221,361,583,223,677,195,445,65,301,281,663,303,757,115,525,145,263,319,625,265,719,153,487,107
19,1,-1,1,-1,1,-1,-1,1,1.2346,1.2346,0.4889,0.4889,0.1000,0.1000,0.9000,0.9000,205,202,0,303,279,665,225,759,113,447,147,223,359,585,305,679,193,527,67,263,319,625,265,719,153,487,107
